clause_id,record_id,clause_text,evidence_start,evidence_end,is_policy_action,instrument_labels,direction,D1,D2,D3,D4,D5,D6,D7,annotator_id,annotation_status
CLAUSE_d158115231c7b5673885243e,POL_A471C7D29B34907987E0,"为进一步贯彻落实《国务院关于坚决遏制部分城市房价过快上涨的通知》(国发〔2010〕10号),坚决抑制不合理住房需求和投机炒作,遏制房价过快上涨的势头,结合国务院有关部门文件规定,在《关于印发深圳市贯彻落实国务院文件精神坚决遏制房价过快上涨的意见的通知》(深府办〔2010〕36号)的基础上,现补充通知如下:一、要把思想统一到国家房地产宏观调控政策上来,提高认识,坚定不移地贯彻执行国发〔2010〕10号文件,认真落实近期国务院有关部门加强房地产宏观调控的信贷、土地、税收等相关政策。",0,241,,,,,,,,,,,,unlabeled
CLAUSE_1e5fa5d2a75168fa6b09630b,POL_A471C7D29B34907987E0,二、在本市暂时实行限定居民家庭购房套数政策。,241,263,,,,,,,,,,,,unlabeled
CLAUSE_589f6d7466dd2db73af5a2fa,POL_A471C7D29B34907987E0,"对于本市户籍居民家庭(含部分家庭成员为本市户籍居民的家庭),限购2套住房;",263,300,,,,,,,,,,,,unlabeled
CLAUSE_2f9be3c9eefd4ca19219552e,POL_A471C7D29B34907987E0,"对于能够提供在本市1年以上纳税证明或社会保险缴纳证明的非本市户籍居民家庭,限购1套住房。",300,344,,,,,,,,,,,,unlabeled
CLAUSE_c7b4b550e8e1ceb372b1bde4,POL_A471C7D29B34907987E0,暂停在本市拥有2套以上(含2套)住房的本市户籍居民家庭、拥有1套以上(含1套)住房的非本市户籍居民家庭、无法提供在本市1年以上纳税证明或社会保险缴纳证明的非本市户籍居民在本市购房。,344,434,,,,,,,,,,,,unlabeled
CLAUSE_c61daba21842dde44ececbd3,POL_A471C7D29B34907987E0,"对境外机构和个人购房,严格按照有关政策执行。",434,456,,,,,,,,,,,,unlabeled
CLAUSE_2836341ce87d0163bd0f709c,POL_6A33FA707D7006E73364,"对于本市户籍居民家庭(包括购房人、配偶及未成年子女,下同)及能够提供在本市1年以上纳税证明或社会保险缴纳证明的非本市户籍居民家庭,只能在本市新购买一套商品住房;",0,80,,,,,,,,,,,,unlabeled
CLAUSE_71634d74bdeb844cc8e4704a,POL_6A33FA707D7006E73364,"对于无法提供在本市1年以上纳税证明或社会保险缴纳证明的非本市户籍居民,不得在本市购买商品住房",80,126,,,,,,,,,,,,unlabeled
CLAUSE_00a5ddb2ff15f7279a497730,POL_F3CE186104680F58EB15,暂限居民家庭购房套数。,0,11,,,,,,,,,,,,unlabeled
CLAUSE_3c1a105b7be98dcc3e9f24a7,POL_F3CE186104680F58EB15,"自本意见发布之日起,除旅游房产外,暂定本市及市外居民家庭只能在本市新购1套商品住房(含存量住房)。",11,60,,,,,,,,,,,,unlabeled
CLAUSE_e329dcebd18f9cfc1a8a31f4,POL_F3CE186104680F58EB15,严格执行国家关于境外机构和个人购房管理相关规定。,60,84,,,,,,,,,,,,unlabeled
CLAUSE_4923b5e69ca7a7738f06f147,POL_F3CE186104680F58EB15,"对违反规定购房的,不予办理房地产登记手续。",84,105,,,,,,,,,,,,unlabeled
CLAUSE_41c06b999df23ea8b3b7032a,POL_F3CE186104680F58EB15,执行差别化住房商业信贷政策。,105,119,,,,,,,,,,,,unlabeled
CLAUSE_e681d2b788829a9d2850bab5,POL_F3CE186104680F58EB15,"居民家庭(包括夫妻双方和未成年子女,下同)向商业银行贷款购买商品住房的,首付比例不得低于30%;",119,167,,,,,,,,,,,,unlabeled
CLAUSE_32e7e4695e1efd19e31ff91b,POL_F3CE186104680F58EB15,"对贷款购买第二套住房的,其首付比例不得低于50%,贷款利率不低于基准利率的1.1倍。",167,209,,,,,,,,,,,,unlabeled
CLAUSE_10d25e8fa7403c04ad0ebdbb,POL_F3CE186104680F58EB15,各商业银行暂停发放居民家庭购买第三套及以上住房贷款。,209,235,,,,,,,,,,,,unlabeled
CLAUSE_ca91a2872c3c796b773fb968,POL_F3CE186104680F58EB15,"对非本市居民在本市购买商品住房申请贷款的,应提供从申请之日起前2年内在本市累计缴纳1年以上的个人所得税纳税证明或社会保险缴纳证明。",235,300,,,,,,,,,,,,unlabeled
CLAUSE_65d635473a52467f7fa3d746,POL_F3CE186104680F58EB15,"凡不能提供证明的,停止发放住房商业贷款。",300,320,,,,,,,,,,,,unlabeled
CLAUSE_6ce010bf324129d67eecf13f,POL_0E7FF81A9104FC7B94D9,"“对购买首套商品住房的家庭,贷款首付款比例不得低于30%;",0,29,,,,,,,,,,,,unlabeled
